"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 10-Aug-2022", 
NIFTY 50,"19,554.25","19,557.75","19,412.75","19,543.10","19,428.30",-114.8,-0.59,"23,55,24,048","2,45,21,11,19,102.82","19,991.85","16,747.70",0.23,10.02,
HCLTECH,"1,160.00","1,186.95","1,154.30","1,134.30","1,167.55",33.25,2.93,"73,91,806","8,68,61,85,148.66","1,202.60",882,5.48,21.73,
POWERGRID,245.5,246.25,242.8,241.8,244.25,2.45,1.01,"1,78,99,555","4,37,66,20,193.05",267,186.35,-3.07,9.63,
TITAN,"2,988.50","3,067.45","2,980.00","2,988.55","3,017.20",28.65,0.96,"18,23,274","5,52,35,53,884.78","3,210.00","2,269.60",-2.56,22.04,
TATASTEEL,120.3,121.4,119.15,120,120.55,0.55,0.46,"2,63,37,436","3,17,15,54,043.12",124.3,95,4.88,10.27,
ULTRACEMCO,"8,125.00","8,155.00","8,044.75","8,102.20","8,128.10",25.9,0.32,"2,93,096","2,37,29,11,077.92","8,499.00","6,005.00",-1.07,23.28,
RELIANCE,"2,532.45","2,558.85","2,512.35","2,536.45","2,542.00",5.55,0.22,"1,10,89,665","28,11,81,78,297.45","2,856.00","2,180.00",-7.97,-1.7,
GRASIM,"1,828.80","1,840.00","1,808.50","1,830.30","1,823.65",3.35,0.18,"7,46,178","1,36,20,58,397.64","1,868.40","1,527.05",2.8,14.22,
COALINDIA,234,235.6,233.75,234.9,235.25,0.35,0.15,"61,32,454","1,43,81,83,112.08",263.4,207.6,0.21,7.46,
SBIN,575.45,579,572,573.65,574.5,0.85,0.15,"1,82,21,179","10,48,37,37,549.44",629.55,499.35,-2.56,9.41,
TCS,"3,438.10","3,466.65","3,414.00","3,442.10","3,444.50",2.4,0.07,"16,79,974","5,78,67,37,641.96","3,575.00","2,926.10",5.79,0.77,
LTIM,"5,115.00","5,171.95","5,095.05","5,106.55","5,108.75",2.2,0.04,"3,53,239","1,81,10,98,741.68","5,430.00","4,121.00",6.05,-,
BHARTIARTL,872,873.7,865,874.8,870.3,-0.5,-0.06,"28,12,690","2,44,74,34,076.60",901.4,686.2,-2.18,22.65,
M&M,"1,548.55","1,559.60","1,533.05","1,545.40","1,544.45",-0.95,-0.06,"24,02,812","3,72,17,87,591.16","1,594.80","1,123.40",-1.55,22.13,
AXISBANK,937.5,945.7,933,939.75,937.75,-2,-0.21,"95,58,237","8,96,63,90,964.96",990,707.7,-1.35,23.5,
